City,State,lon,lat,CityState,Median Sale,Median Rent,# of Whole Foods (15km radius)
Chattanooga,TN,-85.31,35.05,"Chattanooga, TN",181900,1395,3
Spokane,WA,-117.42,47.66,"Spokane, WA",238000,1397,0
Lancaster,PA,-76.31,40.04,"Lancaster, PA",210400,1200,1
Modesto,CA,-121.0,37.64,"Modesto, CA",311500,1650,2
Durham,NC,-78.9,36.0,"Durham, NC",253300,1525,8
Santa Rosa,CA,-122.71,38.44,"Santa Rosa, CA",603400,2800,3
Lexington,KY,-84.5,38.05,"Lexington, KY",177800,1195,2
Lafayette,LA,-92.02,30.22,"Lafayette, LA",165200,1100,1
Lansing,MI,-84.56,42.73,"Lansing, MI",151500,985,1
Fayetteville,AR,-94.16,36.06,"Fayetteville, AR",190600,1300,1
Pensacola,FL,-87.22,30.42,"Pensacola, FL",189000,1275,0
