Rank,City,State,Median Sales Price,Median Rental,# of Whole Foods
1,New York,NY,391300,3000,17
2,Los Angeles,CA,629800,3200,18
3,Chicago,IL,246500,1750,15
9,Dallas,TX,257600,1750,13
5,Philadelphia,PA,218600,1600,9
24,Washington,DC,392400,2250,16
44,Miami,FL,270400,2100,12
40,Atlanta,GA,219100,1550,6
22,Boston,MA,438800,2600,9
14,San Francisco,CA,790800,3410,17
59,Riverside,CA,351500,2195,0
6,Phoenix,AZ,250700,1595,3
N/A,Seattle,WA,468700,2400,N/A
N/A,Minneapolis-St Paul,MN,265600,1700,N/A
8,San Diego,CA,557700,2723,3
58,St. Louis,MO,166300,1100,4
53,Tampa,FL,217500,1575,8
26,Baltimore,MD,251200,1625,2
23,Denver,CO,399000,2100,8
61,Pittsburgh,PA,147800,1200,2
28,Portland,OR,386800,1995,11
17,Charlotte,NC,224400,1505,8
35,Sacramento,CA,400000,1975,1
77,Orlando,FL,244700,1610,0
65,Cincinnati,OH,170800,1353,6
48,Cleveland,OH,142000,1149,3
37,Kansas City,MO,218800,1245,1
N/A,Las Vegas,NV,270800,1550,N/A
15,Columbus,OH,203900,1350,4
13,Indianapolis,IN,182200,1250,4
10,San Jose,CA,1023800,3675,7
11,Austin,TX,290500,1700,8
39,Virginia Beach,VA,229300,1400,1
25,Nashville,TN,260000,1695,2
N/A,Providence,RI,268200,1900,N/A
30,Milwaukee,WI,218500,1200,2
12,Jacksonville,FL,194600,1450,0
20,Memphis,TN,156000,1115,4
29,Oklahoma,OK,163900,1145,1
27,Louisville,KY,177800,1200,3
N/A,Hartford,CT,217300,1558,N/A
N/A,Richmond,VA,242600,1400,N/A
N/A,New Orleans,LA,192300,1450,N/A
73,Buffalo,NY,156100,1250,1
42,Raleigh,NC,259400,1550,9
100,Birmingham,AL,185400,1027,2
N/A,Rochester,NY,136800,1300,N/A
N/A,Grand Rapids,MI,196800,1350,N/A
33,Tucson,AZ,209600,1350,2
46,Tulsa,OK,156600,1050,2
