RegionID,RegionName,City,State,Median Sales Price,Median Rental
394871,"Modesto, CA",Modesto,CA,"$311,500","$1,650"
394549,"Durham, NC",Durham,NC,"$253,300","$1,525"
395068,"Santa Rosa, CA",Santa Rosa,CA,"$603,400","$2,800"
394792,"Lexington, KY",Lexington,KY,"$177,800","$1,195"
394761,"Lafayette, LA",Lafayette,LA,"$165,200","$1,100"
394770,"Lansing, MI",Lansing,MI,"$151,500",$985
394590,"Fayetteville, AR",Fayetteville,AR,"$190,600","$1,300"
394971,"Pensacola, FL",Pensacola,FL,"$189,000","$1,275"
395195,"Visalia, CA",Visalia,CA,"$232,200","$1,300"
395244,"York, PA",York,PA,"$175,400","$1,250"
394596,"Flint, MI",Flint,MI,"$125,200",$750
395019,"Reno, NV",Reno,NV,"$361,200","$1,800"
394338,"Asheville, NC",Asheville,NC,"$265,900","$1,495"
394995,"Port St. Lucie, FL",Port St. Lucie,FL,"$218,400","$1,700"
753917,"Santa Maria-Santa Barbara, CA",Santa Maria-Santa Barbara,CA,"$560,700","$4,000"
394698,"Huntsville, AL",Huntsville,AL,"$178,300","$1,233"
394612,"Fort Wayne, IN",Fort Wayne,IN,"$152,800",$810
395050,"Salinas, CA",Salinas,CA,"$544,900","$3,195"
395183,"Vallejo, CA",Vallejo,CA,"$421,200","$2,295"
395015,"Reading, PA",Reading,PA,"$159,900","$1,200"
394439,"Canton, OH",Canton,OH,"$131,400",$795
394820,"Manchester, NH",Manchester,NH,"$268,700","$1,750"
395048,"Salem, OR",Salem,OR,"$285,500","$1,495"
394327,"Anchorage, AK",Anchorage,AK,"$324,500","$1,700"
394520,"Davenport, IL",Davenport,IL,"$132,400",$998
394972,"Peoria, IL",Peoria,IL,"$117,000",$820
394898,"Myrtle Beach, SC",Myrtle Beach,SC,"$182,400","$1,348"
394875,"Montgomery, AL",Montgomery,AL,"$142,300",$950
395051,"Salisbury, MD",Salisbury,MD,"$238,400","$1,355"
395146,"Tallahassee, FL",Tallahassee,FL,"$175,700","$1,150"
395164,"Trenton, NJ",Trenton,NJ,"$210,900","$1,825"
394589,"Fayetteville, NC",Fayetteville,NC,"$131,600",$995
394679,"Hickory, NC",Hickory,NC,"$162,600",#N/A
394697,"Huntington, WV",Huntington,WV,"$125,200",$875
394576,"Eugene, OR",Eugene,OR,"$291,000","$1,575"
395033,"Rockford, IL",Rockford,IL,"$121,400","$1,000"
395070,"Savannah, GA",Savannah,GA,"$202,600","$1,425"
394332,"Ann Arbor, MI",Ann Arbor,MI,"$265,300",#N/A
394927,"Ocala, FL",Ocala,FL,"$148,400","$1,250"
394732,"Kalamazoo, MI",Kalamazoo,MI,"$154,400","$1,400"
394901,"Naples, FL",Naples,FL,"$320,500","$3,700"
395107,"South Bend, IN",South Bend,IN,"$129,500",$825
395109,"Spartanburg, SC",Spartanburg,SC,"$142,100","$1,100"
394579,"Evansville, IN",Evansville,IN,"$141,100",$850
394747,"Kingsport, TN",Kingsport,TN,"$134,000",$900
395028,"Roanoke, VA",Roanoke,VA,"$169,800","$1,100"
394646,"Green Bay, WI",Green Bay,WI,"$169,100",$895
394796,"Lincoln, NE",Lincoln,NE,"$183,000","$1,250"
394602,"Fort Collins, CO",Fort Collins,CO,"$385,600","$1,795"
395179,"Utica, NY",Utica,NY,"$127,000",#N/A
394488,"Columbus, GA",Columbus,GA,"$145,700",$863
394405,"Boulder, CO",Boulder,CO,"$528,000","$2,300"
394572,"Erie, PA",Erie,PA,"$115,700",$950
394609,"Fort Smith, AR",Fort Smith,AR,"$117,400",$775
394543,"Duluth, MN",Duluth,MN,"$160,900","$1,178"
394924,"New London, CT",New London,CT,"$222,600","$1,500"
395061,"San Luis Obispo, CA",San Luis Obispo,CA,"$594,000","$2,500"
394622,"Gainesville, FL",Gainesville,FL,"$194,100","$1,300"
